"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Cubs","CHC","2025","1088","739",0.267,0.267,0,0.461,0.457,0.0040000000000000036,0.354,0.35,0.0040000000000000036
"Red Sox","BOS","2025","1043","673",0.244,0.252,-0.008000000000000007,0.397,0.436,-0.03899999999999998,0.319,0.335,-0.016000000000000014
"Brewers","MIL","2025","1024","709",0.246,0.251,-0.0050000000000000044,0.375,0.379,-0.0040000000000000036,0.31,0.313,-0.0030000000000000027
"Giants","SF","2025","1017","668",0.227,0.23,-0.0030000000000000027,0.384,0.374,0.010000000000000009,0.308,0.303,0.0050000000000000044
"D-backs","AZ","2025","1015","698",0.245,0.257,-0.01200000000000001,0.434,0.453,-0.019000000000000017,0.339,0.348,-0.008999999999999952
"Cardinals","STL","2025","1015","711",0.265,0.258,0.007000000000000006,0.401,0.406,-0.0050000000000000044,0.325,0.322,0.0030000000000000027
"Pirates","PIT","2025","1014","670",0.222,0.247,-0.024999999999999994,0.336,0.413,-0.07699999999999996,0.287,0.324,-0.03700000000000003
"Mariners","SEA","2025","1010","642",0.228,0.251,-0.022999999999999993,0.39,0.45,-0.06,0.321,0.349,-0.02799999999999997
"Yankees","NYY","2025","1001","634",0.259,0.256,0.0030000000000000027,0.459,0.472,-0.012999999999999956,0.352,0.353,-0.0010000000000000009
"Phillies","PHI","2025","1001","663",0.248,0.254,-0.006000000000000005,0.375,0.411,-0.035999999999999976,0.319,0.33,-0.01100000000000001
"Reds","CIN","2025","991","654",0.245,0.24,0.0050000000000000044,0.394,0.401,-0.007000000000000006,0.322,0.319,0.0030000000000000027
"Royals","KC","2025","983","696",0.224,0.24,-0.015999999999999986,0.323,0.375,-0.05199999999999999,0.275,0.3,-0.024999999999999967
"Blue Jays","TOR","2025","977","698",0.242,0.256,-0.014000000000000012,0.348,0.383,-0.03500000000000003,0.297,0.316,-0.019000000000000017
"Athletics","ATH","2025","975","707",0.256,0.262,-0.006000000000000005,0.433,0.434,-0.0010000000000000009,0.329,0.329,0
"Marlins","MIA","2025","969","654",0.26,0.256,0.0040000000000000036,0.392,0.406,-0.014000000000000012,0.317,0.319,-0.0020000000000000018
"Mets","NYM","2025","963","672",0.234,0.264,-0.03,0.394,0.444,-0.04999999999999999,0.31,0.339,-0.029000000000000026
"Rays","TB","2025","960","651",0.252,0.257,-0.0050000000000000044,0.39,0.422,-0.03199999999999997,0.314,0.325,-0.01100000000000001
"Dodgers","LAD","2025","955","635",0.23,0.252,-0.021999999999999992,0.421,0.461,-0.040000000000000036,0.321,0.342,-0.02100000000000002
"Padres","SD","2025","955","685",0.26,0.259,0.0010000000000000009,0.394,0.412,-0.01799999999999996,0.321,0.324,-0.0030000000000000027
"Twins","MIN","2025","948","634",0.219,0.234,-0.015000000000000013,0.357,0.392,-0.03500000000000003,0.295,0.312,-0.017000000000000015
"Tigers","DET","2025","947","620",0.246,0.246,0,0.387,0.415,-0.02799999999999997,0.316,0.325,-0.009000000000000008
"Nationals","WSH","2025","944","669",0.238,0.257,-0.019000000000000017,0.386,0.421,-0.034999999999999976,0.307,0.326,-0.019000000000000017
"White Sox","CWS","2025","939","622",0.205,0.226,-0.02100000000000002,0.316,0.373,-0.056999999999999995,0.27,0.296,-0.025999999999999968
"Braves","ATL","2025","931","612",0.238,0.251,-0.013000000000000012,0.396,0.447,-0.05099999999999999,0.317,0.337,-0.020000000000000018
"Rockies","COL","2025","928","573",0.216,0.219,-0.0030000000000000027,0.355,0.367,-0.01200000000000001,0.289,0.293,-0.0040000000000000036
"Astros","HOU","2025","920","624",0.232,0.245,-0.012999999999999984,0.342,0.385,-0.04299999999999998,0.29,0.312,-0.02200000000000002
"Angels","LAA","2025","905","600",0.217,0.239,-0.021999999999999992,0.4,0.434,-0.033999999999999975,0.295,0.314,-0.019000000000000017
"Rangers","TEX","2025","897","627",0.222,0.238,-0.015999999999999986,0.379,0.43,-0.05099999999999999,0.289,0.315,-0.026000000000000023
"Guardians","CLE","2025","883","608",0.235,0.234,0.0009999999999999731,0.386,0.393,-0.007000000000000006,0.306,0.307,-0.0010000000000000009
"Orioles","BAL","2025","871","584",0.223,0.25,-0.026999999999999996,0.391,0.448,-0.056999999999999995,0.305,0.334,-0.029000000000000026
