TEAM;LEAGUE;G;AB;R;H;2B;3B;HR;RBI;BB;SO;SB;CS;ABG;OBP;SLG;OPS
Los Angeles Dodgers;Nl;27;858;118;198;38;2;41;114;89;223;11;6;0.231;0.308;0.423;0.731
New York Yankees;Al;26;872;139;226;43;4;41;134;104;247;22;8;0.259;0.345;0.459;0.804
Los Angeles Angels;Al;26;861;100;185;32;3;39;99;55;250;13;2;0.215;0.27;0.395;0.665
Arizona Diamondbacks;Nl;27;895;143;219;52;4;38;139;117;196;22;5;0.245;0.336;0.439;0.775
Chicago Cubs;Nl;28;987;171;262;55;8;38;168;117;235;44;6;0.265;0.346;0.453;0.799
Oakland Athletics;Al;27;922;118;234;43;5;37;112;80;195;9;4;0.254;0.313;0.432;0.745
Seattle Mariners;Al;27;871;117;199;29;2;36;110;113;239;35;12;0.228;0.326;0.39;0.716
Atlanta Braves;Nl;26;853;102;202;33;1;34;98;90;228;14;3;0.237;0.313;0.397;0.71
Baltimore Orioles;Al;26;847;108;191;31;4;33;100;78;218;13;5;0.226;0.299;0.388;0.687
Cincinnati Reds;Nl;27;916;142;228;42;1;32;137;100;237;27;9;0.249;0.329;0.402;0.731
Boston Red Sox;Al;29;995;135;243;57;4;30;129;114;270;32;5;0.244;0.327;0.4;0.727
Texas Rangers;Al;27;858;84;191;37;2;30;82;58;214;24;7;0.223;0.276;0.375;0.651
Cleveland Guardians;Al;26;843;104;200;34;2;29;98;81;206;19;6;0.237;0.307;0.386;0.693
San Francisco Giants;Nl;28;931;132;215;48;5;28;125;107;244;19;6;0.231;0.312;0.383;0.695
Detroit Tigers;Al;27;897;122;220;35;6;27;118;103;246;10;2;0.245;0.327;0.388;0.715
Washington Nationals;Nl;27;881;110;209;34;5;27;104;80;201;27;9;0.237;0.303;0.379;0.682
Milwaukee Brewers;Nl;28;943;139;233;37;4;26;122;93;220;36;8;0.247;0.32;0.378;0.698
New York Mets;Nl;27;891;111;209;51;7;25;106;86;203;17;4;0.235;0.307;0.392;0.699
San Diego Padres;Nl;27;858;103;222;41;1;24;94;87;179;26;6;0.259;0.329;0.393;0.722
St. Louis Cardinals;Nl;27;943;129;252;57;1;24;122;94;212;23;5;0.267;0.337;0.406;0.743
Tampa Bay Rays;Al;27;883;112;223;46;3;24;108;83;228;32;6;0.253;0.318;0.393;0.711
Colorado Rockies;Nl;26;865;88;187;41;6;23;87;80;277;14;4;0.216;0.29;0.357;0.647
Philadelphia Phillies;Nl;27;912;121;229;42;4;22;114;115;227;27;5;0.251;0.34;0.378;0.718
Chicago White Sox;Al;27;876;93;183;36;1;21;90;90;233;18;6;0.209;0.284;0.324;0.608
Miami Marlins;Nl;26;872;114;226;48;2;21;107;79;230;22;9;0.259;0.325;0.391;0.716
Minnesota Twins;Al;27;878;101;197;47;4;21;96;85;221;17;4;0.224;0.305;0.359;0.664
Pittsburgh Pirates;Nl;28;909;97;202;32;5;21;96;99;238;33;7;0.222;0.304;0.338;0.642
Houston Astros;Al;26;849;92;195;31;2;19;85;81;214;20;6;0.23;0.302;0.338;0.64
Toronto Blue Jays;Al;26;866;92;210;47;1;14;87;82;183;18;5;0.242;0.314;0.348;0.662
Kansas City Royals;Al;28;908;88;201;46;3;13;88;77;205;20;11;0.221;0.287;0.322;0.6
