TEAM;LEAGUE;W;L;ERA;G;GS;CG;SHO;SV;SVO;IP;H;R;ER;HR;HB;BB;SO;WHIP;AVG
Minnesota Twins;Al;87;75;3.87;162;162;2;12;38;66;1451.1;1294;659;624;194;63;443;1560;1.2;0.236
Toronto Blue Jays;Al;89;73;3.78;162;162;1;15;51;69;1451.2;1326;671;610;198;62;488;1528;1.25;0.241
Atlanta Braves;Nl;104;58;4.14;162;162;1;15;52;78;1440;1341;716;662;187;70;534;1516;1.3;0.245
Tampa Bay Rays;Al;99;63;3.86;162;162;0;14;45;76;1442;1258;665;618;177;63;439;1507;1.18;0.231
Miami Marlins;Nl;84;78;4.21;162;162;3;9;43;74;1435.1;1340;723;672;191;71;514;1490;1.29;0.246
Chicago White Sox;Al;61;101;4.87;162;162;2;7;28;57;1431.2;1372;841;774;214;91;654;1470;1.42;0.249
Houston Astros;Al;90;72;3.94;162;162;2;7;42;61;1445.1;1312;698;632;201;75;537;1460;1.28;0.241
Seattle Mariners;Al;88;74;3.74;162;162;2;18;44;64;1449.1;1300;659;602;184;57;421;1459;1.19;0.237
Philadelphia Phillies;Nl;90;72;4.03;162;162;1;4;45;71;1442.1;1318;715;646;185;54;470;1454;1.24;0.24
Los Angeles Angels;Al;73;89;4.64;162;162;1;9;43;72;1431.2;1394;829;738;209;88;636;1445;1.42;0.252
San Diego Padres;Nl;82;80;3.73;162;162;0;16;36;64;1441;1270;648;598;174;76;557;1445;1.27;0.236
New York Yankees;Al;82;80;3.97;162;162;3;8;44;63;1439.2;1272;698;635;195;85;508;1439;1.24;0.234
Baltimore Orioles;Al;101;61;3.89;162;162;0;12;49;80;1453.2;1334;678;629;177;63;473;1431;1.24;0.242
Milwaukee Brewers;Nl;92;70;3.71;162;162;1;16;46;71;1443;1218;647;595;198;60;493;1425;1.19;0.226
Boston Red Sox;Al;78;84;4.52;162;162;0;5;43;59;1430;1416;776;718;208;83;497;1423;1.34;0.256
New York Mets;Nl;75;87;4.3;162;162;1;7;34;52;1416.1;1331;729;676;190;85;595;1397;1.36;0.247
Los Angeles Dodgers;Nl;100;62;4.06;162;162;0;15;44;61;1446.1;1284;699;652;200;73;454;1388;1.2;0.236
Cincinnati Reds;Nl;82;80;4.83;162;162;0;6;53;79;1439.1;1426;821;772;222;81;613;1381;1.42;0.257
Chicago Cubs;Nl;83;79;4.08;162;162;1;13;35;57;1435.1;1328;723;651;179;64;513;1377;1.28;0.244
Detroit Tigers;Al;78;84;4.24;162;162;0;15;41;63;1442.1;1320;740;680;187;50;476;1374;1.25;0.24
Pittsburgh Pirates;Nl;76;86;4.6;162;162;2;10;47;68;1430;1380;790;731;179;81;596;1363;1.38;0.251
San Francisco Giants;Nl;79;83;4.02;162;162;4;11;50;77;1434.2;1395;719;641;173;71;403;1359;1.25;0.253
Arizona Diamondbacks;Nl;84;78;4.48;162;162;1;9;44;71;1435.1;1375;761;714;197;48;525;1351;1.32;0.251
Texas Rangers;Al;90;72;4.28;162;162;3;13;30;63;1436.1;1330;716;683;198;59;491;1351;1.27;0.245
Cleveland Guardians;Al;76;86;3.96;162;162;1;13;47;81;1444;1352;697;635;173;51;534;1311;1.31;0.246
Oakland Athletics;Al;50;112;5.48;162;162;0;5;29;55;1419.2;1464;924;865;213;100;694;1300;1.52;0.266
Kansas City Royals;Al;56;106;5.17;162;162;3;6;28;53;1409;1429;859;809;207;73;553;1270;1.41;0.262
Washington Nationals;Nl;71;91;5.02;162;162;0;3;42;69;1428.1;1512;845;797;245;66;592;1225;1.47;0.273
St. Louis Cardinals;Nl;71;91;4.79;162;162;0;10;36;64;1428.1;1549;829;760;179;63;530;1215;1.46;0.276
Colorado Rockies;Nl;59;103;5.67;162;162;0;6;32;66;1414;1599;957;891;234;86;586;1129;1.55;0.288
