TEAM;LEAGUE;G;AB;R;H;2B;3B;HR;RBI;BB;SO;SB;CS;AVG;OBP;SLG;OPS
New York Yankees;Al;162;5450;815;1352;243;15;237;782;672;1326;88;26;0.248;0.333;0.429;0.762
Baltimore Orioles;Al;162;5567;786;1391;262;33;235;759;489;1359;98;25;0.25;0.315;0.435;0.75
Los Angeles Dodgers;Nl;162;5522;842;1423;291;26;233;815;602;1336;136;23;0.258;0.335;0.446;0.781
Atlanta Braves;Nl;162;5481;704;1333;273;15;213;674;485;1461;69;20;0.243;0.309;0.415;0.724
Arizona Diamondbacks;Nl;162;5522;886;1452;271;37;211;845;569;1265;119;30;0.263;0.337;0.44;0.777
New York Mets;Nl;162;5510;768;1357;279;15;207;735;514;1382;106;22;0.246;0.319;0.415;0.734
Philadelphia Phillies;Nl;162;5534;784;1423;285;24;198;750;515;1370;148;30;0.257;0.325;0.425;0.75
Oakland Athletics;Al;162;5432;643;1267;240;19;196;619;493;1502;98;26;0.233;0.301;0.393;0.694
Boston Red Sox;Al;162;5577;751;1404;311;30;194;724;493;1570;144;44;0.252;0.319;0.423;0.742
Houston Astros;Al;161;5530;740;1448;264;16;190;701;448;1176;93;24;0.262;0.322;0.418;0.74
San Diego Padres;Nl;162;5526;760;1456;259;18;190;726;458;1077;120;28;0.263;0.324;0.42;0.744
Cleveland Guardians;Al;161;5310;708;1263;245;18;185;670;466;1196;148;46;0.238;0.307;0.395;0.702
Seattle Mariners;Al;162;5330;676;1195;228;13;185;642;571;1625;140;28;0.224;0.311;0.376;0.687
Minnesota Twins;Al;162;5490;742;1352;309;23;183;702;473;1306;65;23;0.246;0.315;0.411;0.726
Colorado Rockies;Nl;162;5454;682;1319;277;25;179;655;453;1617;85;31;0.242;0.304;0.4;0.704
Milwaukee Brewers;Nl;162;5472;777;1359;249;33;177;742;597;1459;217;42;0.248;0.326;0.403;0.729
San Francisco Giants;Nl;162;5460;693;1303;266;30;177;661;492;1452;68;22;0.239;0.305;0.396;0.701
Texas Rangers;Al;162;5472;683;1302;220;15;176;652;490;1284;97;25;0.238;0.305;0.38;0.685
Cincinnati Reds;Nl;162;5325;699;1230;257;29;174;663;496;1459;207;45;0.231;0.305;0.388;0.693
Chicago Cubs;Nl;162;5441;736;1318;253;29;170;696;546;1362;143;30;0.242;0.317;0.393;0.71
Kansas City Royals;Al;162;5421;735;1343;264;35;170;711;429;1161;134;31;0.248;0.306;0.403;0.709
Los Angeles Angels;Al;162;5357;635;1227;227;15;165;596;482;1416;133;50;0.229;0.301;0.369;0.67
St. Louis Cardinals;Nl;162;5507;672;1363;257;21;165;639;478;1318;91;29;0.248;0.312;0.392;0.704
Detroit Tigers;Al;162;5442;682;1273;244;47;162;656;476;1461;76;24;0.234;0.3;0.385;0.685
Pittsburgh Pirates;Nl;162;5477;665;1283;236;17;160;643;485;1506;106;19;0.234;0.301;0.371;0.672
Toronto Blue Jays;Al;162;5410;671;1306;280;26;156;640;510;1233;72;16;0.241;0.313;0.389;0.702
Miami Marlins;Nl;162;5522;637;1347;243;23;150;611;403;1410;125;43;0.244;0.3;0.378;0.678
Tampa Bay Rays;Al;162;5389;604;1241;245;23;147;564;493;1485;178;53;0.23;0.302;0.366;0.668
Washington Nationals;Nl;162;5374;660;1306;267;18;135;621;456;1220;223;73;0.243;0.309;0.375;0.684
Chicago White Sox;Al;162;5383;507;1187;226;9;133;485;395;1403;90;33;0.221;0.278;0.34;0.618
