"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Cubs","CHC","2025","1046","724",0.249,0.253,-0.0040000000000000036,0.406,0.422,-0.01599999999999996,0.322,0.327,-0.0050000000000000044
"Red Sox","BOS","2025","1036","698",0.252,0.246,0.006000000000000005,0.364,0.403,-0.039000000000000035,0.308,0.319,-0.01100000000000001
"Athletics","ATH","2025","1027","699",0.257,0.248,0.009000000000000008,0.429,0.417,0.01200000000000001,0.337,0.327,0.010000000000000009
"Mariners","SEA","2025","1018","699",0.248,0.246,0.0020000000000000018,0.385,0.396,-0.01100000000000001,0.311,0.313,-0.0020000000000000018
"Brewers","MIL","2025","1012","683",0.239,0.256,-0.017000000000000015,0.398,0.444,-0.045999999999999985,0.318,0.341,-0.02300000000000002
"Pirates","PIT","2025","1009","699",0.223,0.246,-0.022999999999999993,0.348,0.391,-0.04300000000000004,0.285,0.308,-0.02300000000000002
"Royals","KC","2025","994","671",0.229,0.235,-0.005999999999999978,0.362,0.387,-0.025000000000000022,0.296,0.306,-0.010000000000000009
"Phillies","PHI","2025","993","649",0.261,0.243,0.018000000000000016,0.43,0.405,0.024999999999999967,0.332,0.311,0.02100000000000002
"D-backs","AZ","2025","991","664",0.237,0.249,-0.01200000000000001,0.402,0.409,-0.006999999999999951,0.313,0.318,-0.0050000000000000044
"Giants","SF","2025","990","645",0.23,0.235,-0.004999999999999977,0.35,0.377,-0.027000000000000024,0.298,0.307,-0.009000000000000008
"Marlins","MIA","2025","990","676",0.249,0.258,-0.009000000000000008,0.404,0.446,-0.04199999999999998,0.328,0.343,-0.015000000000000013
"Nationals","WSH","2025","989","656",0.252,0.262,-0.010000000000000009,0.397,0.424,-0.02699999999999997,0.327,0.339,-0.01200000000000001
"White Sox","CWS","2025","974","654",0.242,0.26,-0.018000000000000016,0.414,0.469,-0.05499999999999999,0.333,0.358,-0.024999999999999967
"Blue Jays","TOR","2025","968","634",0.231,0.243,-0.011999999999999983,0.399,0.431,-0.03199999999999997,0.308,0.324,-0.016000000000000014
"Dodgers","LAD","2025","967","608",0.228,0.246,-0.017999999999999988,0.375,0.409,-0.033999999999999975,0.308,0.326,-0.018000000000000016
"Cardinals","STL","2025","965","700",0.237,0.27,-0.03300000000000003,0.378,0.453,-0.07500000000000001,0.3,0.339,-0.039000000000000035
"Rockies","COL","2025","964","691",0.288,0.27,0.01799999999999996,0.462,0.447,0.015000000000000013,0.363,0.346,0.017000000000000015
"Twins","MIN","2025","961","654",0.245,0.254,-0.009000000000000008,0.391,0.435,-0.043999999999999984,0.312,0.33,-0.018000000000000016
"Mets","NYM","2025","960","616",0.224,0.236,-0.011999999999999983,0.302,0.358,-0.055999999999999994,0.277,0.3,-0.022999999999999965
"Rays","TB","2025","958","640",0.229,0.257,-0.027999999999999997,0.399,0.449,-0.04999999999999999,0.307,0.336,-0.029000000000000026
"Yankees","NYY","2025","952","607",0.202,0.23,-0.027999999999999997,0.344,0.382,-0.038000000000000034,0.288,0.313,-0.025000000000000022
"Reds","CIN","2025","945","654",0.212,0.244,-0.032,0.393,0.439,-0.045999999999999985,0.298,0.325,-0.027000000000000024
"Angels","LAA","2025","945","660",0.258,0.253,0.0050000000000000044,0.427,0.424,0.0030000000000000027,0.338,0.335,0.0030000000000000027
"Padres","SD","2025","930","617",0.207,0.222,-0.015000000000000013,0.32,0.373,-0.05299999999999999,0.271,0.294,-0.022999999999999965
"Braves","ATL","2025","928","625",0.243,0.254,-0.01100000000000001,0.413,0.431,-0.018000000000000016,0.323,0.332,-0.009000000000000008
"Orioles","BAL","2025","928","675",0.291,0.268,0.022999999999999965,0.478,0.461,0.01699999999999996,0.365,0.346,0.019000000000000017
"Rangers","TEX","2025","924","630",0.219,0.255,-0.036000000000000004,0.338,0.426,-0.08799999999999997,0.276,0.322,-0.045999999999999985
"Astros","HOU","2025","904","597",0.209,0.239,-0.03,0.345,0.384,-0.039000000000000035,0.278,0.305,-0.02699999999999997
"Tigers","DET","2025","904","617",0.21,0.23,-0.020000000000000018,0.341,0.374,-0.032999999999999974,0.28,0.298,-0.01799999999999996
"Guardians","CLE","2025","897","590",0.251,0.25,0.0010000000000000009,0.414,0.435,-0.02100000000000002,0.328,0.334,-0.006000000000000005
